L30_V072,1792,1792,1792,1792
K07_V004,6738,6738,6738,6738
K08_V021,6600,6600,6600,6600
K01_V001,4950,4950,4950,4950
L30_V022,2782,2782,2782,2782
K03_V019,7211,7211,7211,7211
K05_V017,22781,22781,22781,22781
L22_V028,8610,8610,8610,8610
K15_V006,13491,13491,13491,13491
K10_V012,3039,3039,3039,3039
K09_V010,5430,5430,5430,5430
L22_V029,456,456,456,456
K03_V005,8822,8822,8822,8822
K08_V003,6048,6048,6048,6048
L22_V015,10868,10868,10868,10868
K13_V021,9761,9761,9761,9761
K10_V022,1830,1830,1830,1830
K05_V012,23058,23058,23058,23058
K20_V004,25775,25775,25775,25775
